UniProt_A	GeneSymbol_A	UniProt_B	GeneSymbol_B	Databases	PubMed_IDs	Undirected	Direction_A-B	Direction_B-A	Stimulatory_A-B	Inhibitory_A-B	Stimulatory_B-A	Inhibitory_B-A	Category
P39689	Cdkn1a	Q9QXV3	Ing1	SPIKE	16581770			SPIKE			SPIKE		PPI
P39689	Cdkn1a	Q9CWI3	Bccip	HPRD;BioGRID	10878006;14726710	HPRD;BioGRID							PPI
P39689	Cdkn1a	P97377	Cdk2	phosphoELM;MPPI;BioGRID;SPIKE;InnateDB;Signor;PhosphoPoint;CancerCellMap;HPRD;MIMP;IntAct	9858545;16982699;15964852;12730199;10878006;12839982;12417722;8242751;9858587;18729080;20102411;15707957;15647383;15557281;20587660;18850315;18356301;15155733;12949733;12800980;11477082;11132966;10918595;10874474;9658399;9632134;9488036;9380407;9218599;13678583;12383116;9464540;16765349;11302688;12361598;8756624;12970760;9660939;15232106;15890360;8641969;9472014;10022118;9546435;8622677;23602568;23455922;23443559;26186194;25483090;26496610;25241761;23007395;28514442;15107404;11463845;12144826;9736735;20839231;25416956;16962592;24358021;9840943;17418410;9284049;24218572	CancerCellMap;HPRD;BioGRID;MPPI;InnateDB;IntAct	KEGG;SPIKE;Signor;ACSN	phosphoELM;MIMP;Signor;ACSN;PhosphoPoint		SPIKE;Signor;KEGG		Signor	PPI
P39689	Cdkn1a	Q62318	Trim28	SPIKE	17942393			SPIKE				SPIKE	PPI
P39689	Cdkn1a	Q3TKT4	Smarca4	SPIKE	18414052			SPIKE			SPIKE		PPI
P39689	Cdkn1a	Q5F293	Zbtb4	SPIKE	18451802			SPIKE				SPIKE	PPI
P39689	Cdkn1a	Q9Z0Z3	Skp2	BioGRID;Signor;IntAct	15998794;17679094;17477906;19686743;13678583;23261596;18794347;15980415;25241761;16376880	BioGRID;IntAct		Signor				Signor	PPI
P39689	Cdkn1a	P47811	Mapk14	MIMP;BioGRID;PhosphoSite;Signor	12058028;23745637	BioGRID		PhosphoSite_dir;PhosphoSite;MIMP;Signor			Signor		PPI
P39689	Cdkn1a	P30285	Cdk4	HPRD;BioGRID;Signor;IntAct;PhosphoPoint	7626805;18729080;20102411;15695403;11967266;17556661;18850315;15169570;9658399;9632134;12383116;9464540;8756624;12970760;15232106;8622677;23443559;23007395;28514442;11463845;9106657;16962592	HPRD;BioGRID;IntAct	KEGG;Signor;ACSN	PhosphoPoint		Signor;KEGG			PPI
P39689	Cdkn1a	Q61831	Mapk10	PhosphoSite;MIMP	23737759;16508017;25411249;12058028;28368408;19364816;12730199;27384476;15964852;19822666;22227330			PhosphoSite_dir;PhosphoSite;MIMP					PPI
P39689	Cdkn1a	Q3TCH7	Cul4a	BioGRID	18794347;26613412	BioGRID		ACSN					PPI
P39689	Cdkn1a	Q99J79	Ddb2	SPIKE;IntAct	16678110;19541625	IntAct		SPIKE				SPIKE	PPI
P39689	Cdkn1a	P51943	Ccna2	HPRD;BioGRID;DIP;IntAct	12947099;17679094;9380407;21308745;8756624;9660939;8662825;23443559;26186194;26496610;28514442;8242751;15890360;9632134	HPRD;BioGRID;DIP;IntAct	ACSN						PPI
P39689	Cdkn1a	Q8BKD6	Rnf144b	HPRD;BioGRID	12853982	HPRD;BioGRID							PPI
P39689	Cdkn1a	P02340	Tp53	BioGRID;SPIKE;SignaLink3;IntAct	21163364;19749794;12748190;24853421;11896572;21900206;12897156;17371838;25241761;16616141	BioGRID;IntAct	SignaLink3	SignaLink3;SPIKE;KEGG;ACSN			SPIKE;KEGG		PPI
P39689	Cdkn1a	O54784	Dapk3	HPRD-phos;HPRD;BioGRID;SPIKE;MIMP;PhosphoPoint	15001356	HPRD;BioGRID		HPRD-phos;SPIKE;MIMP;PhosphoPoint			SPIKE		PPI
P39689	Cdkn1a	Q9WV60	Gsk3b	phosphoELM;MIMP;PhosphoSite;Signor;PhosphoPoint	17283049;11779850			PhosphoSite_dir;phosphoELM;MIMP;PhosphoSite;Signor;PhosphoPoint				Signor	PPI
P39689	Cdkn1a	Q8BFP9	Pdk1	MIMP				MIMP					PPI
P39689	Cdkn1a	P19785	Esr1	HPRD;BioGRID	15743834;17911387;12897156	HPRD;BioGRID							PPI
P39689	Cdkn1a	Q60795	Nfe2l2	BioGRID	19560419	BioGRID	ACSN						PPI
P39689	Cdkn1a	P97471	Smad4	IntAct	25241761	IntAct		ACSN					PPI
P39689	Cdkn1a	P11440	Cdk1	HPRD;BioGRID;SPIKE;Signor;IntAct;PhosphoPoint	15077146;15340381;17679094;11559705;21308745;23602568;26186194;26496610;28514442;24218572;9467962	HPRD;BioGRID;IntAct	SPIKE;Signor;ACSN	PhosphoPoint		SPIKE;Signor			PPI
P39689	Cdkn1a	Q9Z0H0	Cdc7	HPRD;IntAct;PhosphoPoint	15232106	HPRD;IntAct		PhosphoPoint					PPI
P39689	Cdkn1a	O70237	Gfi1b	SPIKE	12874834			SPIKE				SPIKE	PPI
P39689	Cdkn1a	P22339	Gadd45b	HPRD	8700517	HPRD							PPI
P39689	Cdkn1a	P24860	Ccnb1	HPRD;BioGRID;Signor;IntAct	19158493;17679094;16082198;11559705;8662825;23443559;25241761;15251430	HPRD;BioGRID;IntAct	Signor;ACSN			Signor			PPI
P39689	Cdkn1a	Q60867	Neurod1	SPIKE	16251211			SPIKE			SPIKE		PPI
P39689	Cdkn1a	P48316	Gadd45a	HPRD;BioGRID	10912791;10973963;7478594	HPRD;BioGRID							PPI
P39689	Cdkn1a	P31750	Akt1	HPRD-phos;BioGRID;PhosphoSite;SPIKE;Signor;PhosphoPoint;SignaLink3;HPRD;MIMP;IntAct	21933447;11756412;16288292;12042314;11231573;12851486;15023346;17855660;16982699;11463845;23886938;20307683;26436589;15001356;27603133;25241761	HPRD;BioGRID;IntAct		HPRD-phos;PhosphoSite;SPIKE;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;SignaLink3;MIMP			SPIKE	SPIKE;SignaLink3;Signor	PPI
P39689	Cdkn1a	P63085	Mapk1	phosphoELM;Signor;MIMP	19364816			phosphoELM;Signor;MIMP				Signor	PPI
P39689	Cdkn1a	Q8R2Y9	Nabp2	IntAct	21242961	IntAct							PPI
P39689	Cdkn1a	Q60737	Csnk2a1	HPRD;PhosphoPoint	11255227	HPRD		PhosphoPoint					PPI
P39689	Cdkn1a	B2RWS6	Ep300	BioGRID;SignaLink3	21804610;18263614	BioGRID	SignaLink3						PPI
P39689	Cdkn1a	Q9EQU5	Set	HPRD;BioGRID;InnateDB	12407107;16474839	HPRD;BioGRID;InnateDB							PPI
P39689	Cdkn1a	P20444	Prkca	PhosphoNetworks;phosphoELM;MIMP;PhosphoSite;Signor	16055744;15851482;10753973;15001356			PhosphoNetworks;PhosphoSite_dir;phosphoELM;MIMP;PhosphoSite;Signor				Signor	PPI
P39689	Cdkn1a	Q61456	Ccna1	HPRD;BioGRID;IntAct	12383116;15232106;16009130;16982699;25241761;10022926;7478582	HPRD;BioGRID;IntAct	ACSN	ACSN					PPI
P39689	Cdkn1a	Q9WTU6	Mapk9	PhosphoSite;MIMP	17325029			PhosphoSite_dir;PhosphoSite;MIMP					PPI
P39689	Cdkn1a	Q61457	Ccne1	LMPID;HPRD;BioGRID;DIP;ELM;IntAct	11438644;8637717;12839982;17293600;11477082;9716181;9632134;9380407;9218599;8891332;13678583;16765349;8756624;9660939;8662825;9472014;21988832;23443559;25241761;8242751	LMPID;HPRD;BioGRID;DIP;ELM;IntAct	ACSN	ACSN					PPI
P39689	Cdkn1a	Q9WUA6	Akt3	SignaLink3	12851486;15023346			SignaLink3;KEGG;ACSN			KEGG	SignaLink3;KEGG	PPI
P39689	Cdkn1a	Q9QUG2	Polk	SPIKE	16678112		SPIKE			SPIKE			PPI
P39689	Cdkn1a	P70677	Casp3	HPRD;BioGRID;HPRD-phos;IntAct	10022118;9799125;9660939;25241761	HPRD;BioGRID;IntAct	KEGG;ACSN	HPRD-phos		KEGG			PPI
P39689	Cdkn1a	Q60821	Zbtb17	SPIKE	17828269			SPIKE;ACSN			SPIKE		PPI
P39689	Cdkn1a	Q63844	Mapk3	MIMP				MIMP					PPI
P39689	Cdkn1a	P30280	Ccnd2	HPRD;BioGRID;IntAct	16189514;15169570;16765349;8756624;23443559;25416956;26186194;25241761;28514442;27107012	HPRD;BioGRID;IntAct	ACSN	ACSN					PPI
P39689	Cdkn1a	O89090	Sp1	SPIKE	17026958			SPIKE;ACSN			SPIKE		PPI
P39689	Cdkn1a	Q9WVS8	Mapk7	MIMP				MIMP					PPI
P39689	Cdkn1a	P70372	Elavl1	SPIKE	18519672;19528229			SPIKE			SPIKE		PPI
P39689	Cdkn1a	P23804	Mdm2	BioGRID;IntAct	14761977;14633995;20086099;20308078;17373842;25241761	BioGRID;IntAct							PPI
P39689	Cdkn1a	Q60773	Cdkn2d	SPIKE	17287518	SPIKE							PPI
P39689	Cdkn1a	Q9Z188	Dyrk1b	PhosphoNetworks;phosphoELM;PhosphoPoint;MIMP	15851482			PhosphoNetworks;phosphoELM;PhosphoPoint;MIMP					PPI
P39689	Cdkn1a	Q62070	Pim2	Signor;MIMP	20307683			Signor;MIMP			Signor		PPI
P39689	Cdkn1a	Q8K3K8	Optn	BioGRID	19609363	BioGRID							PPI
P39689	Cdkn1a	Q9ES52	Inpp5d	InnateDB	19322021	InnateDB							PPI
P39689	Cdkn1a	Q80Y86	Mapk15	MIMP				MIMP					PPI
P39689	Cdkn1a	P04184	Tk1	HPRD;BioGRID	11389691	HPRD;BioGRID							PPI
P39689	Cdkn1a	Q6P5G0	Mapk4	MIMP				MIMP					PPI
P39689	Cdkn1a	Q61187	Tsg101	HPRD;BioGRID	11943869	HPRD;BioGRID							PPI
P39689	Cdkn1a	Q9R1R2	Trim3	BioGRID	23318451	BioGRID							PPI
P39689	Cdkn1a	Q91YL2	Rnf126	BioGRID	23026136	BioGRID							PPI
P39689	Cdkn1a	P30276	Ccnb2	HPRD;IntAct	15232106	HPRD;IntAct	ACSN						PPI
P39689	Cdkn1a	Q9Z238	Ccne2	HPRD;BioGRID;IntAct	9840927;9840943;15232106;23443559;26186194;26496610;28514442;24358021	HPRD;BioGRID;IntAct	ACSN	ACSN					PPI
Q62388	Atm	O88522	Ikbkg	phosphoELM;InnateDB;BioGRID;SPIKE;Signor;PhosphoPoint;SignaLink3;Macrophage;MIMP;IntAct	16497931;18583959;16965765;20065354;24457965	BioGRID;SPIKE;Macrophage;InnateDB;IntAct	phosphoELM;MIMP;SPIKE;Signor;PhosphoPoint	SignaLink3	SPIKE	Signor			PPI
Q62388	Atm	Q9R207	Nbn	HPRD-phos;phosphoELM;LMPID;PhosphoSite_noref;InnateDB;PhosphoSite;BioGRID;SPIKE;Signor;PhosphoPoint;HPRD;Macrophage;MIMP;IntAct	12814430;12861053;17429352;16622404;15908798;18854157;15758953;10608806;10839544;10802669;10839545;10766245;18644472;12433983;17526493;12447395;18003706;15733840;12598907;14707289;17507690;15964794;15279770;11252893;19413330;18669648;20068231;10783165;22464731;25088203;25895060	LMPID;HPRD;BioGRID;SPIKE;InnateDB;IntAct	HPRD-phos;phosphoELM;PhosphoSite_noref;PhosphoSite;SPIKE;Signor;PhosphoPoint;PhosphoSite_dir;MIMP	Macrophage;Signor;ACSN	SPIKE;Signor		Signor		PPI
Q62388	Atm	Q60876	Eif4ebp1	HPRD-phos;phosphoELM;PhosphoSite_noref;InnateDB;BioGRID;SPIKE;Signor;PhosphoPoint;HPRD;MIMP	11146653;10713094;9806882;18212344;12588975;10608806	HPRD;BioGRID;InnateDB	HPRD-phos;phosphoELM;PhosphoSite_noref;SPIKE;Signor;PhosphoPoint;PhosphoSite_dir;MIMP		SPIKE	Signor			PPI
Q62388	Atm	Q61501	E2f1	phosphoELM;HPRD;SPIKE;MIMP;PhosphoPoint	11459832	HPRD	phosphoELM;SPIKE;MIMP;ACSN;PhosphoPoint	ACSN	SPIKE		ACSN		PPI
Q62388	Atm	Q8K1K9	Hinfp	SPIKE	17974976			SPIKE			SPIKE		PPI
Q62388	Atm	Q9D842	Aplf	PhosphoSite;MIMP	17507382		PhosphoSite_dir;PhosphoSite;MIMP						PPI
Q62388	Atm	Q9Z1E3	Nfkbia	Macrophage	16965765		Macrophage						PPI
Q62388	Atm	P70196	Traf6	SPIKE	20932475;21872579		SPIKE		SPIKE				PPI
Q62388	Atm	Q8VC51	Wrap53	PhosphoSite	27715493		PhosphoSite_dir;PhosphoSite						PPI
Q62388	Atm	Q7TMY8	Huwe1	BioGRID;MIMP;PhosphoSite_noref	17478428;22213803	BioGRID	PhosphoSite_dir;MIMP;PhosphoSite_noref						PPI
Q62388	Atm	P27641	Xrcc5	HPRD;PhosphoPoint	15758953	HPRD	ACSN;PhosphoPoint						PPI
Q62388	Atm	Q9D1M4	Eef1e1	HPRD;PhosphoPoint	15680327	HPRD	PhosphoPoint						PPI
Q62388	Atm	P00520	Abl1	HPRD-phos;phosphoELM;BioGRID;DIP;SPIKE;Signor;PhosphoPoint;SignaLink3;HPRD;MIMP;IntAct	15686624;9168116;9168117;10212258;11375976;17409407;20798688	HPRD;BioGRID;DIP;IntAct	HPRD-phos;phosphoELM;SPIKE;Signor;ACSN;PhosphoPoint;SignaLink3;MIMP		SPIKE;SignaLink3;Signor				PPI
Q62388	Atm	Q9D9K3	Aven	SPIKE;MIMP;PhosphoSite_noref	18571408		PhosphoSite_dir;PhosphoSite_noref;SPIKE;MIMP	SPIKE	SPIKE		SPIKE		PPI
Q62388	Atm	Q921J2	Rheb	SignaLink3;HPRD;BioGRID;InnateDB;PhosphoPoint	15854902	HPRD;BioGRID;InnateDB	PhosphoPoint	SignaLink3					PPI
Q62388	Atm	O88898	Tp63	PhosphoSite;Signor;MIMP	18769144;20023394		PhosphoSite_dir;PhosphoSite;MIMP;Signor			Signor			PPI
Q62388	Atm	Q9Z1Z2	Strap	SPIKE	18833288		SPIKE		SPIKE				PPI
Q62388	Atm	Q6PDM2	Srsf1	SPIKE	18070599		SPIKE		SPIKE				PPI
Q62388	Atm	P97436	Nkx3-1	PhosphoSite_noref			PhosphoSite_dir;PhosphoSite_noref						PPI
Q62388	Atm	O35613	Daxx	PhosphoSite;Signor	23405218;25659035		PhosphoSite_dir;PhosphoSite;Signor			Signor			PPI
Q62388	Atm	Q5U5Q9	Uimc1	MIMP			MIMP						PPI
Q62388	Atm	O08901	Bub1	Signor;PhosphoSite_noref;MIMP	22099307		PhosphoSite_dir;PhosphoSite_noref;MIMP;Signor		Signor				PPI
Q62388	Atm	Q9R1X4	Timeless	SPIKE	19996108			SPIKE			SPIKE		PPI
Q62388	Atm	Q6PDG5	Smarcc2	MIMP			MIMP						PPI
Q62388	Atm	O88351	Ikbkb	InnateDB;Macrophage;SignaLink3	16497931	InnateDB;Macrophage		SignaLink3					PPI
Q62388	Atm	Q8K327	Champ1	SPIKE	20164059		SPIKE						PPI
Q62388	Atm	O35973	Per1	SPIKE	17644383;16678109	SPIKE		SPIKE			SPIKE		PPI
Q62388	Atm	Q9QXK2	Rad18	MIMP;PhosphoSite_noref			PhosphoSite_dir;MIMP;PhosphoSite_noref						PPI
Q62388	Atm	P56280	Tcl1a	BioGRID	22065599	BioGRID							PPI
Q62388	Atm	Q01147	Creb1	phosphoELM;PhosphoSite_noref;MIMP;HPRD;SPIKE;Signor;PhosphoPoint	15073328;17525332;16293623	HPRD	PhosphoSite_dir;phosphoELM;PhosphoSite_noref;MIMP;SPIKE;Signor;PhosphoPoint			SPIKE;Signor			PPI
Q62388	Atm	Q80V62	Fancd2	HPRD-phos;MIMP;PhosphoSite;HPRD;BioGRID;SPIKE;Signor;PhosphoPoint	12612651;12086603;16943440;20068231;14499622	HPRD;BioGRID	HPRD-phos;PhosphoSite;SPIKE;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;MIMP		SPIKE;Signor				PPI
Q62388	Atm	P70444	Bid	BioGRID;SPIKE	18662573;16122426;16122425	BioGRID	SPIKE		SPIKE				PPI
Q62388	Atm	O09106	Hdac1	BioGRID	10531300	BioGRID							PPI
Q62388	Atm	Q8R2M2	Dnttip2	SPIKE	20164059		SPIKE						PPI
Q62388	Atm	P25206	Mcm3	SPIKE;Signor;MIMP	15210935	Signor	SPIKE;MIMP						PPI
Q62388	Atm	Q6ZQF0	Topbp1	HPRD-phos;PhosphoSite;PhosphoSite_noref;HPRD;SPIKE;MIMP;PhosphoPoint	19279141;17446169;17525332;11756551;18077418	HPRD	HPRD-phos;PhosphoSite_dir;PhosphoSite;PhosphoSite_noref;SPIKE;MIMP;PhosphoPoint		SPIKE				PPI
Q62388	Atm	O88559	Men1	PhosphoSite;MIMP	21264250		PhosphoSite_dir;PhosphoSite;MIMP						PPI
Q62388	Atm	P61092	Siah1a	SPIKE;Signor;PhosphoSite_noref;MIMP	19788416;18536714		PhosphoSite_dir;MIMP;PhosphoSite_noref;SPIKE;Signor;ACSN			SPIKE;Signor			PPI
Q62388	Atm	Q8CIK8	Rfwd3	MIMP;PhosphoSite_noref			PhosphoSite_dir;MIMP;PhosphoSite_noref						PPI
Q62388	Atm	P24270	Cat	PhosphoPoint			PhosphoPoint						PPI
Q62388	Atm	Q9QZ67	Ppm1d	SPIKE;Signor;DEPOD	16949371;19360021			DEPOD;SPIKE;Signor				SPIKE;Signor	PPI
Q62388	Atm	Q9QZ11	Exo1	BioGRID;SPIKE;Signor	20019063;17525332	BioGRID	SPIKE;Signor;ACSN		Signor	SPIKE			PPI
Q62388	Atm	Q6P1D7	Slx4	SPIKE;MIMP;PhosphoSite_noref	21655083;17525332		PhosphoSite_dir;PhosphoSite_noref;SPIKE;MIMP		SPIKE				PPI
Q62388	Atm	Q99MK9	Rassf1	MIMP;PhosphoSite_noref;InnateDB;SPIKE;Signor	19962312;10608806	InnateDB	PhosphoSite_dir;MIMP;PhosphoSite_noref;SPIKE;Signor		SPIKE;Signor				PPI
Q62388	Atm	Q9WV30	Nfat5	phosphoELM;PhosphoSite_noref;MIMP;PhosphoSite;Signor;PhosphoPoint	15173573		PhosphoSite_dir;phosphoELM;PhosphoSite_noref;MIMP;PhosphoSite;Signor;PhosphoPoint		Signor				PPI
Q62388	Atm	Q07832	Plk1	SPIKE	12147700		SPIKE			SPIKE			PPI
Q62388	Atm	Q62318	Trim28	BioGRID;SPIKE;MIMP;PhosphoSite	18285803;20424263;17942393;18657500;22491012;22715096;28607002;23318425;16862143;26212333;27364555;23645696;27376578;21642969;23096706;28249048	BioGRID	PhosphoSite_dir;PhosphoSite;SPIKE;MIMP		SPIKE	SPIKE			PPI
Q62388	Atm	Q3TKT4	Smarca4	PhosphoSite	24413084		PhosphoSite_dir;PhosphoSite						PPI
Q62388	Atm	Q3U319	Rnf40	MIMP;PhosphoSite_noref;BioGRID;PhosphoSite;Signor	21763684;17478428;21362549	BioGRID	PhosphoSite_dir;PhosphoSite_noref;PhosphoSite;MIMP;Signor		Signor				PPI
Q62388	Atm	Q61188	Ezh2	PhosphoSite	24162653		PhosphoSite_dir;PhosphoSite						PPI
Q62388	Atm	Q9WTK7	Stk11	HPRD-phos;phosphoELM;MIMP;HPRD;SPIKE;Signor;PhosphoPoint	20160076;12234250;11853558	HPRD;Signor	HPRD-phos;phosphoELM;MIMP;SPIKE;Signor;ACSN;PhosphoPoint		SPIKE;Signor				PPI
Q62388	Atm	Q8CHK4	Kat5	HPRD;BioGRID;SPIKE;PhosphoPoint	16141325;19783983;21704408	HPRD;BioGRID	PhosphoPoint	SPIKE;ACSN			SPIKE		PPI
Q62388	Atm	P27661	H2afx	HPRD-phos;phosphoELM;MIMP;HPRD;BioGRID;SPIKE;Signor;IntAct;PhosphoPoint	16531125;18285803;21690091;18158901;11571274;20068231;9488723;11893489;18344987;21704408;21676867;22184063;27918549;16858402	HPRD;BioGRID;IntAct	HPRD-phos;phosphoELM;MIMP;SPIKE;Signor;ACSN;PhosphoPoint		SPIKE;Signor				PPI
Q62388	Atm	Q9Z2N8	Actl6a	SPIKE	16141325	SPIKE		SPIKE			SPIKE		PPI
Q62388	Atm	Q8VEE4	Rpa1	SPIKE	11359916;17525332		SPIKE						PPI
Q62388	Atm	Q5DTM8	Rnf20	MIMP;PhosphoSite_noref;BioGRID;PhosphoSite;Signor	21763684;21362549	BioGRID	PhosphoSite_dir;PhosphoSite_noref;PhosphoSite;MIMP;Signor		Signor				PPI
Q62388	Atm	Q9Z0F6	Rad9a	HPRD-phos;phosphoELM;PhosphoSite;MIMP;HPRD;SPIKE;Signor;PhosphoPoint	11278446;22453082;12709442;18669648	HPRD	HPRD-phos;phosphoELM;PhosphoSite;SPIKE;Signor;PhosphoPoint;PhosphoSite_dir;MIMP		Signor				PPI
Q62388	Atm	Q61221	Hif1a	PhosphoSite;Signor;MIMP	21095582		PhosphoSite_dir;PhosphoSite;MIMP;Signor		Signor				PPI
Q62388	Atm	Q9R1A8	Rfwd2	PhosphoSite;Signor;MIMP	16931761;25957415;20843328		PhosphoSite_dir;PhosphoSite;MIMP;Signor			Signor			PPI
Q62388	Atm	Q6P9S1	Atmin	SPIKE;IntAct	20975950;15933716;17525732;18728389	SPIKE;IntAct	SPIKE		SPIKE				PPI
Q62388	Atm	Q5U4C9	Dyrk2	MIMP;PhosphoSite_noref			PhosphoSite_dir;MIMP;PhosphoSite_noref						PPI
Q62388	Atm	Q8K368	Fanci	MIMP;PhosphoSite_noref;PhosphoSite;Signor	17412408;28636932	Signor	PhosphoSite_dir;PhosphoSite;PhosphoSite_noref;MIMP						PPI
Q62388	Atm	Q5I043	Usp28	PhosphoSite_noref;PhosphoSite;SPIKE;MIMP	16901786		PhosphoSite_dir;PhosphoSite;PhosphoSite_noref;SPIKE;MIMP		SPIKE				PPI
Q62388	Atm	Q8K310	Matr3	SPIKE	17525332;17478428		SPIKE						PPI
Q62388	Atm	Q61216	Mre11	phosphoELM;PhosphoSite_noref;InnateDB;BioGRID;PhosphoSite;Signor;PhosphoPoint;HPRD;Macrophage;MIMP	16622404;15908798;18854157;10608806;21763684;19709933;26240375;10783165;15758953	HPRD;BioGRID;InnateDB	PhosphoSite_dir;phosphoELM;PhosphoSite_noref;MIMP;PhosphoSite;Signor;PhosphoPoint	Macrophage;Signor;ACSN	Signor		Signor		PPI
Q62388	Atm	P97313	Prkdc	PhosphoSite;HPRD;BioGRID;SPIKE;Signor;PhosphoPoint	17189255;15677476;15507430;16908529;25818648;12231622;19103741;19244120;24714417;19549901;10608806;10464290	HPRD;BioGRID	PhosphoSite_dir;PhosphoSite;SPIKE;Signor;ACSN;PhosphoPoint		SPIKE;Signor				PPI
Q62388	Atm	P02340	Tp53	HPRD-phos;phosphoELM;InnateDB;PhosphoSite;BioGRID;SPIKE;Signor;PhosphoPoint;SignaLink3;HPRD;Macrophage;MIMP;IntAct	9733514;9733515;9843217;17525332;10608806;9407038;11875057;15254178;20663147;17967874;17157788;18431490;16783362;17855337;9925639;12519769;18818083;23148227;10713094;19962312;25043304;23150668;19251701;15782130;16489034;11313957;10656682;18785202;14968111;28903382;22002314;12049739;18715874;12393500;23890999;16288207;28356518;18490454;17668048;22099307;15775976;10611322;15082766;21532626;16636671;18614045;11865061;12151394;26675349;12606585;24711418;23678107;18765533;12519780;24958101;26700820;17596534;18272544;24038750;15665826;22037398;18289945;17486112;15226429;18032786;22975381;20711232;27630139;21317932;25651062;11711532;11546806;18339864;11709713;19303885;12702572;15077171;18345031;24608431;16648554;15758953;23184057;12890678;17976513;12939400;15078887;16501611;15048074;21465263;17616578;20931131;25202122;16223874;19085961;25088203;15310764;27183917;23982736;20080565;15159397;19266268;18332866;26104798;24820418;26337656;12324477;9363941;18056442;15456784;25301947;16293623;20026654;17553757;27810895;12776195;21317290;17234789;15155458;16436515;17371838;22055193;15258567;11096068;12771937;26620371;28915641;10723129;12080066;17108107;20005840;17456577;15178764;15533933;12518062;21441950;19934315;15181149;21423215;14871926;18449195;18985806;19828454;10744722;18604166;14871840;11121242;15489892;15794754;17712528;16949371;28153791;11314044;12082529;18381438;10958792;17609585;20353948;16818505;18045533;16916644;18406507;20372057;19907922;14712210;12511424;25860929;17535811;12637545;28118604;16478990;12071847;12588868;26673821;15361830;20637859;20123963;10673501;11551930;11780126;9765199;15632067;15064416;17409407;11459832;21383020;19965871;15790808;23907539;25086746;24469230;14744854;27559048;10864201;16858402	HPRD;BioGRID;InnateDB;IntAct	HPRD-phos;phosphoELM;PhosphoSite;SPIKE;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;SignaLink3;Macrophage;MIMP;KEGG		SPIKE;Signor;KEGG				PPI
Q62388	Atm	Q6PEE3	Rrm2b	MIMP;PhosphoSite;SPIKE;Signor;IntAct	19015526	IntAct	PhosphoSite_dir;MIMP;PhosphoSite;SPIKE;Signor		SPIKE;Signor				PPI
Q62388	Atm	P08775	Polr2a	BioGRID	24957606;9168116	BioGRID							PPI
Q62388	Atm	O09053	Wrn	phosphoELM;PhosphoSite;HPRD;InnateDB;SPIKE;MIMP;PhosphoPoint	12629512;17525332;26695548;10608806;10839545;11252893	HPRD;InnateDB	PhosphoSite_dir;phosphoELM;PhosphoSite;SPIKE;MIMP;PhosphoPoint	ACSN					PPI
Q62388	Atm	Q9QZ41	Dbf4	MIMP;PhosphoSite_noref;PhosphoSite;Signor	22123827		PhosphoSite_dir;PhosphoSite_noref;PhosphoSite;MIMP;Signor			Signor			PPI
Q62388	Atm	O88700	Blm	phosphoELM;PhosphoSite;PhosphoSite_noref;MIMP;BioGRID;SPIKE;Signor;PhosphoPoint	11146546;12034743;16199871;25766002;16880735;14729972;11375976;10783165	BioGRID	phosphoELM;PhosphoSite_noref;PhosphoSite;SPIKE;Signor;PhosphoPoint;PhosphoSite_dir;MIMP		SPIKE;Signor				PPI
Q62388	Atm	Q8VBV4	Fbxw7	PhosphoSite_noref			PhosphoSite_dir;PhosphoSite_noref						PPI
Q62388	Atm	Q8BHJ9	Slu7	SPIKE	20164059		SPIKE						PPI
Q62388	Atm	Q60676	Ppp5c	SPIKE	14871926;18772547;17376776			SPIKE;ACSN			SPIKE		PPI
Q62388	Atm	Q6NXW6	Rad17	HPRD-phos;phosphoELM;InnateDB;PhosphoSite;BioGRID;SPIKE;Signor;PhosphoPoint;HPRD;MIMP	11418864;11687627;10608806;17110331;18344987	HPRD;BioGRID;Signor;InnateDB	HPRD-phos;PhosphoSite_dir;phosphoELM;PhosphoSite;SPIKE;MIMP;PhosphoPoint		SPIKE				PPI
Q62388	Atm	P18608	Hmgn1	SPIKE	19079244			SPIKE			SPIKE		PPI
Q62388	Atm	O35618	Mdm4	HPRD-phos;MIMP;PhosphoSite_noref;HPRD;SPIKE;Signor;PhosphoPoint	15788536;16943424;16082221;16511560;16163388	HPRD	HPRD-phos;PhosphoSite_dir;MIMP;PhosphoSite_noref;SPIKE;Signor;PhosphoPoint			SPIKE;Signor			PPI
Q62388	Atm	Q80YR6	Rbbp8	HPRD-phos;phosphoELM;PhosphoSite_noref;InnateDB;PhosphoSite;BioGRID;SPIKE;Signor;PhosphoPoint;HPRD;MIMP	10910365;24837676;11689934;10608806	HPRD;BioGRID;InnateDB	HPRD-phos;phosphoELM;PhosphoSite_noref;PhosphoSite;SPIKE;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;MIMP			SPIKE;Signor			PPI
Q62388	Atm	Q9Z265	Chek2	HPRD-phos;phosphoELM;PhosphoSite_noref;InnateDB;BioGRID;SPIKE;Signor;PhosphoPoint;HPRD;MIMP	12773400;9889122;10973490;12024051;16794575;12493754;11901158;12242661;15064416;15790808;10744722;10713094	HPRD;BioGRID;InnateDB	HPRD-phos;phosphoELM;PhosphoSite_noref;SPIKE;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;MIMP;KEGG		SPIKE;Signor;KEGG				PPI
